Unnamed: 0,DATE,Permit_Number,construction,Homes_Sold,Housing_Starts,UNEM_RATE,MORTGAGE,GDPC1,FORECLOSURES,HPI
1,2000-01-01,1727,353065,873,1636,4.03,8.26,12935.252,1.95,101.34
4,2000-04-01,1597,356188,841,1626,3.93,8.32,13170.749,1.97,103.67
7,2000-07-01,1542,337374,887,1463,4.0,8.02,13183.89,2.09,105.79
10,2000-10-01,1577,344095,933,1549,3.9,7.62,13262.25,2.23,108.27
13,2001-01-01,1699,348279,936,1600,4.23,7.01,13219.251,2.34,110.48
16,2001-04-01,1666,361991,909,1649,4.4,7.13,13301.394,2.41,112.2
19,2001-07-01,1598,366500,880,1670,4.83,6.96,13248.142,2.18,114.16
22,2001-10-01,1566,370957,871,1540,5.5,6.77,13284.881,2.25,115.87
25,2002-01-01,1665,377631,880,1698,5.7,6.97,13394.91,2.24,117.89
28,2002-04-01,1669,398990,936,1592,5.83,6.81,13477.356,2.16,120.72
31,2002-07-01,1738,404632,956,1655,5.73,6.29,13531.741,2.1,123.83
34,2002-10-01,1799,397077,1006,1648,5.87,6.08,13549.421,2.0,126.67
37,2003-01-01,1808,417788,999,1853,5.87,5.84,13619.434,1.97,129.32
40,2003-04-01,1803,420510,1012,1643,6.13,5.51,13741.107,1.83,131.76
43,2003-07-01,1885,448917,1168,1897,6.13,6.03,13970.157,1.73,135.01
46,2003-10-01,2012,469855,1144,1967,5.83,5.92,14131.379,1.76,138.83
49,2004-01-01,1952,498640,1165,1911,5.7,5.6,14212.34,1.65,143.3
52,2004-04-01,2070,512400,1186,2003,5.6,6.11,14323.017,1.6,148.21
55,2004-07-01,2112,543260,1088,2002,5.43,5.89,14457.832,1.55,152.72
58,2004-10-01,2097,551137,1305,2072,5.43,5.74,14605.595,1.42,157.54
61,2005-01-01,2139,575650,1203,2144,5.3,5.77,14767.846,1.41,163.48
64,2005-04-01,2150,598335,1260,2061,5.1,5.71,14839.707,1.55,169.35
67,2005-07-01,2203,628750,1389,2054,4.97,5.76,14956.291,1.59,174.58
70,2005-10-01,2170,658590,1336,2065,4.97,6.23,15041.232,1.64,179.54
73,2006-01-01,2212,675679,1174,2273,4.73,6.25,15244.088,1.61,183.32
76,2006-04-01,1998,650388,1123,1821,4.63,6.6,15281.525,1.62,184.0
79,2006-07-01,1763,598487,965,1737,4.63,6.56,15304.517,1.74,182.82
82,2006-10-01,1570,561444,941,1491,4.43,6.24,15433.643,1.92,183.65
85,2007-01-01,1626,537571,891,1409,4.5,6.21,15478.956,2.08,184.42
88,2007-04-01,1470,523666,887,1490,4.5,6.36,15577.779,2.3,181.62
